Internal_ID,Internal_Variant_ID,Brand,FC_Title_Short,US_Title_Short,SKU,Visible,Stock_Disable_Sold_Out,Score,Priorité,Type de correction,Erreurs critiques,Erreurs majeures,Erreurs mineures,Alertes catalogue
63379058,!ID:105923768,STMNT | STATEMENT Grooming Goods,Bain Tout-en-Un,All-in-One Cleanser,,Y,N,60,Critique,Contenu à créer | HTML à corriger,FC description courte manquante | US description courte manquante,FC H2 DESCRIPTION manquant | FC H2 UTILISATION manquant | US H2 DESCRIPTION manquant | US H2 HOW TO USE / USE manquant,,
63379058,!ID:105923941,STMNT | STATEMENT Grooming Goods,Bain Tout-en-Un,All-in-One Cleanser,,Y,N,60,Critique,Contenu à créer | HTML à corriger,FC description courte manquante | US description courte manquante,FC H2 DESCRIPTION manquant | FC H2 UTILISATION manquant | US H2 DESCRIPTION manquant | US H2 HOW TO USE / USE manquant,,
63385739,!ID:105936384,SACHAJUAN,Poudre Capillaire (35ml / 1.2 oz),Hair Powder (35ml / 1.2 oz),,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63386659,!ID:105938252,STMNT | STATEMENT Grooming Goods,Pâte Brillance,Shine Paste,,Y,N,60,Critique,Contenu à créer | HTML à corriger,FC description courte manquante | US description courte manquante,FC H2 DESCRIPTION manquant | FC H2 UTILISATION manquant | US H2 DESCRIPTION manquant | US H2 HOW TO USE / USE manquant,,
63386659,!ID:105938416,STMNT | STATEMENT Grooming Goods,Pâte Brillance,Shine Paste,,Y,Y,60,Critique,Contenu à créer | HTML à corriger,FC description courte manquante | US description courte manquante,FC H2 DESCRIPTION manquant | FC H2 UTILISATION manquant | US H2 DESCRIPTION manquant | US H2 HOW TO USE / USE manquant,,Produit visible avec backorder désactivé — à vérifier
63387512,!ID:105939933,STMNT | STATEMENT Grooming Goods,Pommade Fibreuse,Fiber Pomade,,Y,N,60,Critique,Contenu à créer | HTML à corriger,FC description courte manquante | US description courte manquante,FC H2 DESCRIPTION manquant | FC H2 UTILISATION manquant | US H2 DESCRIPTION manquant | US H2 HOW TO USE / USE manquant,,
63387512,!ID:105940053,STMNT | STATEMENT Grooming Goods,Pommade Fibreuse,Fiber Pomade,,Y,Y,60,Critique,Contenu à créer | HTML à corriger,FC description courte manquante | US description courte manquante,FC H2 DESCRIPTION manquant | FC H2 UTILISATION manquant | US H2 DESCRIPTION manquant | US H2 HOW TO USE / USE manquant,,Produit visible avec backorder désactivé — à vérifier
63387722,!ID:105940303,OLIVIA GARDEN,"Titanium + Ion | Fer Plat Professionnel Haute Performance - 1"" - TA-FL1","Titanium + Ion | High Performance Professional Flat Iron - 1"" - TA-FL1",,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63389153,!ID:105942893,STMNT | STATEMENT Grooming Goods,Crème pour Cheveux Bouclés 150ml (5.07 oz),Curl Cream 150ml (5.07 oz),,Y,N,60,Critique,Contenu à créer | HTML à corriger,FC description courte manquante | US description courte manquante,FC H2 DESCRIPTION manquant | FC H2 UTILISATION manquant | US H2 DESCRIPTION manquant | US H2 HOW TO USE / USE manquant,,
63389213,!ID:105942995,18.21 MAN MADE,"Sweet Tobacco | Wash Barbe, Cheveux et Corps","Sweet Tobacco | Beard, Hair & Body Wash",,Y,N,90,Action requise,HTML à corriger | Titre à corriger,,US H2 HOW TO USE / USE manquant | Marque présente dans un titre,,
63389213,!ID:105943130,18.21 MAN MADE,"Sweet Tobacco | Wash Barbe, Cheveux et Corps","Sweet Tobacco | Beard, Hair & Body Wash",,Y,N,90,Action requise,HTML à corriger | Titre à corriger,,US H2 HOW TO USE / USE manquant | Marque présente dans un titre,,
63389213,!ID:105943179,18.21 MAN MADE,"Sweet Tobacco | Wash Barbe, Cheveux et Corps","Sweet Tobacco | Beard, Hair & Body Wash",,Y,N,90,Action requise,HTML à corriger | Titre à corriger,,US H2 HOW TO USE / USE manquant | Marque présente dans un titre,,
63389213,!ID:105943280,18.21 MAN MADE,"Sweet Tobacco | Wash Barbe, Cheveux et Corps","Sweet Tobacco | Beard, Hair & Body Wash",,Y,N,90,Action requise,HTML à corriger | Titre à corriger,,US H2 HOW TO USE / USE manquant | Marque présente dans un titre,,
63389610,!ID:105943791,STMNT | STATEMENT Grooming Goods,STMNT - COIFFANTS Gel 150ml (5.07 oz),STMNT - COIFFANTS Gel 150ml (5.07 oz),,N,Y,38,Critique,Contenu à créer | SEO à corriger,FC description courte manquante | US description courte manquante | FC description longue manquante | US description longue manquante,FC meta description manquante | US meta description manquante,FR meta description manquante,Produit invisible — vérifier si volontaire
63389696,!ID:105943945,18.21 MAN MADE,"Spiced Vanilla | Wash Barbe, Cheveux et Corps","Spiced Vanilla | Beard, Hair & Body Wash",,Y,N,90,Action requise,HTML à corriger | Titre à corriger,,US H2 HOW TO USE / USE manquant | Marque présente dans un titre,,
