Date,Produits,Conformes,Action_requise,Critiques
2026-06-17,9643,3865,3181,2515
2026-06-17 10:20:15,9643,3864,3181,2516
2026-06-17 12:22:01,9643,3866,3181,2514
2026-06-17 12:33:55,9643,3866,3181,2514
2026-06-17 12:37:29,9643,3866,3181,2514
2026-06-17 13:44:44,9643,3866,3181,2514
2026-06-17 13:48:31,9643,3866,3181,2514
2026-06-17 13:55:25,9643,3866,3181,2514
